mudan [n]	peony
muka [n]	face
mun [n]	door (gate)
mungus [n]	mongoose
munkin [a]	possible (maybe)
mus [v]	must
musik [n]	music
musiker [n]	musician
na [prep]	at (in, on)
na dur de [prep]	while (during)
na med [prep]	in the middle
na men [prep]	on (on the surface)
na xia [prep]	below (under)
nafas [n]	breath
nag [a]	naked (bare)
naijiria [pn]	Nigeria
nam [v]	name
narak [n]	hell
naranje [n]	orange fruit
naranji [a]	orange (color)
nas [n]	people (folk)
nasia [n]	nation
nau [n]	brain
nen [tw]	year
net [n]	net
niama [n]	meat (flesh)
nid [n]	need
nida [v]	need (require)
nidi [a]	necessary (needed)
nil [a]	blue
nioni [n]	bird
nipon [pn]	Japan
no [tam]	no (not)
noc [tw]	night
normal [a]	normal (regular)
norme [n]	norm (standard)
norvegia [pn]	Norway
nos [n]	nose
not [n]	note (observation)
nota [v]	notice (observe)
nov [a]	new
noy [num]	nine (9)
nul [num]	zero (none)
numer [n]	number
nun [tam]	now
o [conj.]	or
okey [a]	okay (acceptable)
okeya [v]	approve (say OK)
oma [n]	grandmother
opa [n]	grandfather
or [n]	ear
oskur [a]	dark (dim)
pagri [n]	turban
pak [v]	pack (package)
pakistan [pn]	Pakistan
pal [n]	fruit
pan [n]	bread
pang [a]	thick (fat)
pantalon [n]	pants (trousers)
papa [n]	father
paper [n]	paper
parda [n]	curtain
pasa [v]	happen (occur)
pat [n]	path
pay [v]	go
penis [n]	penis
pens [n]	thought
pensa [v]	think
pent [v]	paint
pesa [n]	money
piano [n]	piano
pigu [n]	buttocks (butt)
pingo [n]	apple
pipinga [v]	criticize
pix [n]	piss (urine)
plan [n]	plan
plastik [n]	plastic
plat [n]	plate
plus [tam]	also (plus)
poker [n]	poker
polis [v]	police
ponguin [n]	penguin
ponta [a]	point (indicate)
presis [a]	precise (exact, accurate)
proba [v]	try (attempt)
program [v]	program
programer [n]	programmer
puding [n]	pudding
puja [v]	worship
punt [n]	point (full stop)
putau [n]	grape
putong [a]	common (universal)
radio [n]	radio
rahas [n]	secret
ramazan [pn]	Ramadan
rang [n]	color
rapid [a]	fast (rapid)
razon [v]	reason (rational thinking)
recet [n]	recipe
ren [n]	person
resid [n]	receit
rik [a]	rich
rit [n]	ritual (ceremony)
roket [n]	rocket
rol [n]	role
romans [n]	romance (love affair)
romansa [v]	love romantically
romansi [a]	romantic
roz [n]	rose
rozi [a]	pink
rul [v]	roll
saba [v]	know how
sabe [n]	skill (know-how)
sabun [n]	soap
sad [a]	plain (simple)
saf [a]	clean (pure)
safar [n]	travel (voyage)
safara [v]	travel (journey)
sak [n]	bag (sack)
salad [n]	salad
salam [n]	greeting (hello)
salam [n]	greeting (hello)
salama [v]	greet (salute)
salama [v]	greet (say hello)
sam [a]	same
saman [n]	sky (heaven)
san [num]	three
sanduk [n]	box (chest)
sant [a]	holy (sacred)
sapat [n]	shoe
se [pp]	self
sekreter [n]	secretary
sekse [n]	sex (sexual intercourse)
seksi [a]	sexy (sexual)
sekur [a]	safe (secure)
sen [n]	chest (breast)
serca [v]	search
set [num]	seven (7)
sifat [n]	quality (charasteristic)
sigar [n]	cigar
sigaret [n]	cigarette
silsil [n]	chain
sin [n]	sign (signal)
sis [num]	six (6)
sofa [n]	sofa (couch)
son [n]	sleep (dream)
sona [v]	sleep
sos [n]	sauce
sosis [n]	sausage
sporte [n]	sport (athletics)
sporter [n]	athlete
stadia [n]	stadium
stop [n]	stop
stopa [v]	stop (halt)
suan [a]	sour
suba [n]	morning
sui [n]	water
suka [v]	like (be fond of)
sukar [n]	sugar
sukari [a]	sweet (sugary)
suki [a]	nice (agreeable)
sum [n]	sum
suma [v]	sum (total)
sundar [a]	beautiful (handsome)
suomia [pn]	Finland
sup [n]	soup
super [a]	super (superb)
svedia [pn]	Sweden
ta [pp]	he or she
tabia [n]	nature (environment)
tabul [n]	table (matrix)
tabula [v]	tabulate
tamar [n]	date fruit
tamen [pp]	they
tanzania [pn]	Tanzania
tara [n]	star
tava [n]	frying pan
tazi [a]	fresh
tel [a]	distant (tele-)
tele vizor [n]	television
tem [n]	topic (theme)
tena [v]	hold (grasp)
tenci [n]	weather
tenis [n]	tennis
tenta [v]	tempt (entice)
teror [n]	terror
teste [n]	test (challenge)
teyana [v]	suggest (propose)
tez [a]	energetic (depending on context: brisk, fast, loud, hot, sharp, etc)
ti [pp]	you
tik [a]	right (correct)
tiket [n]	ticket
tim [n]	team
timen [pp]	you
tip [n]	type (category)
tiraner [n]	tyrant
tiranie [n]	tyranny
to [conj]	so (then)
toca [v]	touch
tomat [n]	tomato
ton [n]	tone (pitch or shade)
tong [n]	barrel
top [n]	gun
tren [n]	train
tub [n]	tube
tufan [n]	storm (tempest)
tulip [n]	tulip
tur [n]	tour (trip)
turisme [n]	tourism
turiste [n]	tourist
turkia [pn]	Turkey
umur [n]	age
un [num]	one (1)
una [v]	unite
unia [n]	union
uza [v]	use (employ)
uzer [n]	user
vaz [n]	vase
venen [n]	poison (venom)
ver [a]	true (real)
vida [v]	look (see)
viet [pn]	Vietnam
viman [n]	airplane
viza [v]	show (display)
vizit [n]	visit
vizita [v]	visit (go to)
vol [v]	want (desire)
vota [v]	vote (give vote)
wa [i]	wow
wad [n]	promise (commitment)
wada [v]	promise (commit)
wan [n]	bowl (earless cup)
wen [n]	circle (round)
win [n]	win (victory)
xak [n]	doubt (disbelief)
xan [n]	mountain (hill)
xant [n]	peace
xatan [n]	devil (Satan)
xatani [a]	diabolical (devilish)
xatur [n]	chess
xau [num]	few (little)
xia [prep]	under (below)
xigo [n]	accident (mishap)
xik [a]	elegant (chic)
xim [n]	heart
xir [n]	poem
xirop [n]	syrup
xok [v]	shock (collide)
xuli [v]	repair (fix)
yakin [a]	certain (sure)
yala [v]	hurry (hasten)
yang [n]	style (type, manner)
ye [tam]	yes (yeah)
yehud [n]	Jew
yen [n]	eye
yep [n]	leaf
yog [n]	yoga
yoga [v]	do yoga
yoni [n]	vagina
yumor [n]	humor
yungam [a]	brave (courageous)
yureka [v]	find (discover)
zaitun [n]	olive
zalim [a]	mean (cruel)
zam [n]	time (moment)
zambia [pn]	Zambia
ze [prep]	from (since)
zem [n]	earth (soil)
zemia [n]	Earth (Tellus)
zimbabwe [pn]	Zimbabwe
zin [n]	adultery (infidelity)
zink [n]	zinc
zizi [n]	fly (housefly)
zon [n]	belt (zone)
zukam [n]	cold (illness)
zumrud [n]	emerald

